sl_no,career,stream_after_12th,required_skills,preferred_interests,education_level_min,time_years_avg,cost_inr_avg,difficulty_level,risk_level,popularity_in_india,career_description,experiment_tasks_sample
127,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
128,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
129,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
130,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
131,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
132,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
133,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
134,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
135,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
136,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
137,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
138,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
139,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
140,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
141,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
142,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
143,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
144,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
145,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
146,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
147,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
148,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
149,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
150,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
151,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
152,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
153,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
154,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
155,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
156,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
157,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
158,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
159,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
160,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
161,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
162,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
163,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
164,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
165,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
166,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
167,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
168,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
169,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
170,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
171,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
172,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
173,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
174,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
175,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
176,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
177,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
178,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
179,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
180,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
181,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
182,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
183,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
184,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
185,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
186,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
187,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
188,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
189,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
190,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
191,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
192,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
193,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
194,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
195,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
196,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
197,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
198,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
199,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
200,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
201,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
202,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
203,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
204,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
205,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
206,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
207,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
208,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
209,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
210,Data Scientist (Chief Data Officer),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + C-level experience,15,3500000,high,medium,high,Chief Data Officer leading data vision.,Define data vision;Lead data organization;Drive data transformation;Publish thought leadership;Present globally
211,Cybersecurity Specialist (Chief Security Officer),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + C-level experience,15,3500000,very high,medium,very high,Chief Security Officer leading security vision.,Define security vision;Lead security organization;Report to board;Publish security thought leadership;Present globally
212,Digital Marketing (Chief Marketing Officer),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + C-level experience,15,3500000,medium,low,very high,Chief Marketing Officer leading marketing vision.,Define marketing vision;Lead marketing organization;Drive revenue growth;Publish marketing thought leadership;Present globally
213,Fashion Design (Chief Creative Officer),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Creative Officer leading global fashion brands.,Define creative vision;Lead design organization;Present collections globally;Collaborate with luxury houses;Drive brand legacy
214,Government Job - Union Home Secretary Level,Any (UPSC),general studies;administration;policy;leadership,public service;policy;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Home Secretary.,Formulate national home policy;Coordinate security ministries;Advise Home Minister;Lead national security;Represent India internationally
215,Software Engineer (VP Engineering),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Engineering leading engineering organization.,Define engineering vision;Lead multiple engineering teams;Drive technical strategy;Present to board;Publish technical thought leadership
216,AI/ML Engineer (VP AI),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + VP-level experience,15,3000000,high,medium,very high,VP AI leading AI organization.,Define AI vision;Lead AI teams;Drive AI strategy;Secure funding;Present to board
217,Data Scientist (VP Data),Science (PCM),python;sql;statistics;machine learning;pandas;leadership;strategy,data analysis;research;insights;business,Master's + VP-level experience,15,3000000,high,medium,high,VP Data leading data organization.,Define data vision;Lead data teams;Drive data strategy;Publish thought leadership;Present to board
218,Cybersecurity Specialist (VP Security),Science (PCM) or Any,networking;ethical hacking;firewalls;python;cyber threats;leadership;strategy,security;problem solving;protecting systems;business,Bachelor's + VP-level experience,15,3000000,very high,medium,very high,VP Security leading security organization.,Define security vision;Lead security teams;Drive security strategy;Publish security thought leadership;Present to board
219,Digital Marketing (VP Marketing),Any,seo;social media;content strategy;google ads;analytics;leadership;business,marketing;trends;creativity,Bachelor's + VP-level experience,15,3000000,medium,low,very high,VP Marketing leading marketing organization.,Define marketing vision;Lead marketing teams;Drive revenue growth;Publish marketing thought leadership;Present to board
220,Fashion Design (VP Design),Arts / Any,fashion sketching;garment construction;trend forecasting;brand management;leadership,fashion;creativity;branding,Bachelor's + VP-level experience,15,3000000,medium,low,high,VP Design leading design organization.,Define design vision;Lead design teams;Drive brand creative strategy;Present to board;Publish design thought leadership
221,Government Job - Union Finance Secretary Level,Any (UPSC),general studies;finance;policy;leadership,public service;finance;leadership,Bachelor's + UPSC + decades of service,30+,500000,very high,low,very high,Serve as Union Finance Secretary.,Formulate national finance policy;Coordinate finance ministries;Advise Finance Minister;Lead fiscal policy;Represent India internationally
222,Software Engineer (Chief Technology Officer),Science (PCM),python;c++;problem solving;web dev;git;leadership;strategy,technology;innovation;business,Bachelor's + C-level experience,15,3500000,medium,low,high,Chief Technology Officer leading technology vision.,Define technology vision;Lead engineering organization;Drive innovation;Present to board;Publish tech thought leadership
223,AI/ML Engineer (Chief AI Officer),Science (PCM),python;machine learning;tensorflow;statistics;data modeling;leadership;strategy,AI;data patterns;automation;business,Master's + C-level experience,15,3500000,high,medium,very high,Chief AI Officer leading AI vision.,Define AI vision;Lead AI organization;Drive AI transformation;Secure board approval;Present globally
